report_name,report_agency,date,domain,visits
Visits to participating hostnames,Department of Agriculture,1/31/24,fs.usda.gov,111548
Visits to participating hostnames,Department of Agriculture,1/31/24,fns.usda.gov,70153
Visits to participating hostnames,Department of Agriculture,1/31/24,myplate.gov,53618
Visits to participating hostnames,Department of Agriculture,1/31/24,usda.gov,52130
Visits to participating hostnames,Department of Agriculture,1/31/24,fdc.nal.usda.gov,36319
Visits to participating hostnames,Department of Agriculture,1/31/24,fsa.usda.gov,35500
Visits to participating hostnames,Department of Agriculture,1/31/24,aphis.usda.gov,34991
Visits to participating hostnames,Department of Agriculture,1/31/24,rd.usda.gov,28947
Visits to participating hostnames,Department of Agriculture,1/31/24,fsis.usda.gov,27130
Visits to participating hostnames,Department of Agriculture,1/31/24,nrcs.usda.gov,26664
Visits to participating hostnames,Department of Agriculture,1/31/24,ams.usda.gov,20822
Visits to participating hostnames,Department of Agriculture,1/31/24,ers.usda.gov,16653
Visits to participating hostnames,Department of Agriculture,1/31/24,nal.usda.gov,16463
Visits to participating hostnames,Department of Agriculture,1/31/24,rma.usda.gov,12004
Visits to participating hostnames,Department of Agriculture,1/31/24,farmers.gov,11017
Visits to participating hostnames,Department of Agriculture,1/31/24,nfc.usda.gov,9173
Visits to participating hostnames,Department of Agriculture,1/31/24,ars.usda.gov,9042
Visits to participating hostnames,Department of Agriculture,1/31/24,nass.usda.gov,7002
Visits to participating hostnames,Department of Agriculture,1/31/24,fas.usda.gov,6181
Visits to participating hostnames,Department of Agriculture,1/31/24,dietaryguidelines.gov,5769
Visits to participating hostnames,Department of Agriculture,1/31/24,snaped.fns.usda.gov,4991
Visits to participating hostnames,Department of Agriculture,1/31/24,nutrition.gov,4464
Visits to participating hostnames,Department of Agriculture,1/31/24,usdasearch.usda.gov,4088
Visits to participating hostnames,Department of Agriculture,1/31/24,invasivespeciesinfo.gov,3359
Visits to participating hostnames,Department of Agriculture,1/31/24,mymarketnews.ams.usda.gov,3113
Visits to participating hostnames,Department of Agriculture,1/31/24,quickstats.nass.usda.gov,1104
Visits to participating hostnames,Department of Agriculture,1/31/24,npgsweb.ars-grin.gov,1031
Visits to participating hostnames,Department of Agriculture,1/31/24,aff.gov,1021
Visits to participating hostnames,Department of Agriculture,1/31/24,agcounts.usda.gov,767
Visits to participating hostnames,Department of Agriculture,1/31/24,aglearn.usda.gov,579
Visits to participating hostnames,Department of Agriculture,1/31/24,data.ers.usda.gov,558
Visits to participating hostnames,Department of Agriculture,1/31/24,search.nal.usda.gov,501
Visits to participating hostnames,Department of Agriculture,1/31/24,search.ers.usda.gov,481
Visits to participating hostnames,Department of Agriculture,1/31/24,aglab.ars.usda.gov,412
Visits to participating hostnames,Department of Agriculture,1/31/24,wcc.nrcs.usda.gov,369
