report_name,report_agency,date,visits,language
Browser language,Department of Agriculture,1/31/24,559286,en-us
Browser language,Department of Agriculture,1/31/24,13041,en-gb
Browser language,Department of Agriculture,1/31/24,6410,zh-tw
Browser language,Department of Agriculture,1/31/24,4383,es-419
Browser language,Department of Agriculture,1/31/24,3956,en-ca
Browser language,Department of Agriculture,1/31/24,3754,es-us
Browser language,Department of Agriculture,1/31/24,3634,zh-cn
Browser language,Department of Agriculture,1/31/24,2835,es-es
Browser language,Department of Agriculture,1/31/24,2747,en
Browser language,Department of Agriculture,1/31/24,1611,en-au
Browser language,Department of Agriculture,1/31/24,1433,en-in
Browser language,Department of Agriculture,1/31/24,1305,es-mx
Browser language,Department of Agriculture,1/31/24,1218,pt-br
Browser language,Department of Agriculture,1/31/24,1185,fr-fr
Browser language,Department of Agriculture,1/31/24,1067,ja
Browser language,Department of Agriculture,1/31/24,902,de-de
Browser language,Department of Agriculture,1/31/24,771,es
Browser language,Department of Agriculture,1/31/24,742,ko-kr
Browser language,Department of Agriculture,1/31/24,708,ru
Browser language,Department of Agriculture,1/31/24,698,it-it
Browser language,Department of Agriculture,1/31/24,648,ru-ru
Browser language,Department of Agriculture,1/31/24,517,de
Browser language,Department of Agriculture,1/31/24,461,fr
Browser language,Department of Agriculture,1/31/24,436,nl-nl
Browser language,Department of Agriculture,1/31/24,402,tr-tr
Browser language,Department of Agriculture,1/31/24,307,fr-ca
Browser language,Department of Agriculture,1/31/24,272,ar
Browser language,Department of Agriculture,1/31/24,248,vi-vn
Browser language,Department of Agriculture,1/31/24,248,"zh-cn,zh"
Browser language,Department of Agriculture,1/31/24,242,ko
Browser language,Department of Agriculture,1/31/24,241,pt-pt
Browser language,Department of Agriculture,1/31/24,238,pl-pl
Browser language,Department of Agriculture,1/31/24,233,en-ph
Browser language,Department of Agriculture,1/31/24,207,id-id
Browser language,Department of Agriculture,1/31/24,204,el-gr
Browser language,Department of Agriculture,1/31/24,203,sv-se
Browser language,Department of Agriculture,1/31/24,192,en-nz
Browser language,Department of Agriculture,1/31/24,191,th-th
Browser language,Department of Agriculture,1/31/24,158,id
Browser language,Department of Agriculture,1/31/24,155,en-za
Browser language,Department of Agriculture,1/31/24,138,en-sg
Browser language,Department of Agriculture,1/31/24,138,uk-ua
Browser language,Department of Agriculture,1/31/24,133,da-dk
Browser language,Department of Agriculture,1/31/24,131,he-il
Browser language,Department of Agriculture,1/31/24,123,nb-no
Browser language,Department of Agriculture,1/31/24,115,pl
Browser language,Department of Agriculture,1/31/24,113,it
Browser language,Department of Agriculture,1/31/24,104,nl
Browser language,Department of Agriculture,1/31/24,102,es-ar
Browser language,Department of Agriculture,1/31/24,102,hu-hu
Browser language,Department of Agriculture,1/30/24,629278,en-us
Browser language,Department of Agriculture,1/30/24,13196,en-gb
Browser language,Department of Agriculture,1/30/24,4678,es-419
Browser language,Department of Agriculture,1/30/24,4046,zh-cn
Browser language,Department of Agriculture,1/30/24,3958,en-ca
Browser language,Department of Agriculture,1/30/24,3766,es-us
Browser language,Department of Agriculture,1/30/24,3136,es-es
Browser language,Department of Agriculture,1/30/24,2570,en
Browser language,Department of Agriculture,1/30/24,1559,en-au
Browser language,Department of Agriculture,1/30/24,1473,en-in
Browser language,Department of Agriculture,1/30/24,1308,pt-br
Browser language,Department of Agriculture,1/30/24,1286,es-mx
Browser language,Department of Agriculture,1/30/24,1170,fr-fr
Browser language,Department of Agriculture,1/30/24,1055,ja
Browser language,Department of Agriculture,1/30/24,925,de-de
Browser language,Department of Agriculture,1/30/24,849,es
Browser language,Department of Agriculture,1/30/24,768,ko-kr
Browser language,Department of Agriculture,1/30/24,712,ru
Browser language,Department of Agriculture,1/30/24,607,it-it
Browser language,Department of Agriculture,1/30/24,600,ru-ru
Browser language,Department of Agriculture,1/30/24,580,zh-tw
Browser language,Department of Agriculture,1/30/24,554,de
Browser language,Department of Agriculture,1/30/24,420,fr
Browser language,Department of Agriculture,1/30/24,379,tr-tr
Browser language,Department of Agriculture,1/30/24,368,nl-nl
Browser language,Department of Agriculture,1/30/24,312,fr-ca
Browser language,Department of Agriculture,1/30/24,306,ar
Browser language,Department of Agriculture,1/30/24,263,pl-pl
Browser language,Department of Agriculture,1/30/24,243,ko
Browser language,Department of Agriculture,1/30/24,239,id-id
Browser language,Department of Agriculture,1/30/24,225,en-za
Browser language,Department of Agriculture,1/30/24,218,pt-pt
Browser language,Department of Agriculture,1/30/24,216,el-gr
Browser language,Department of Agriculture,1/30/24,216,vi-vn
Browser language,Department of Agriculture,1/30/24,204,en-ph
Browser language,Department of Agriculture,1/30/24,184,sv-se
Browser language,Department of Agriculture,1/30/24,179,th-th
Browser language,Department of Agriculture,1/30/24,166,id
Browser language,Department of Agriculture,1/30/24,161,en-nz
Browser language,Department of Agriculture,1/30/24,158,da-dk
