report_name,report_agency,date,os,visits,browser
Operating system and browser,Department of Agriculture,1/31/24,Windows,206208,Chrome
Operating system and browser,Department of Agriculture,1/31/24,iOS,114553,Safari
Operating system and browser,Department of Agriculture,1/31/24,Windows,76506,Edge
Operating system and browser,Department of Agriculture,1/31/24,Android,67792,Chrome
Operating system and browser,Department of Agriculture,1/31/24,Chrome OS,34549,Chrome
Operating system and browser,Department of Agriculture,1/31/24,Macintosh,31488,Chrome
Operating system and browser,Department of Agriculture,1/31/24,Macintosh,30831,Safari
Operating system and browser,Department of Agriculture,1/31/24,iOS,16025,Chrome
Operating system and browser,Department of Agriculture,1/31/24,Linux,11249,Chrome
Operating system and browser,Department of Agriculture,1/31/24,Windows,7901,Firefox
Operating system and browser,Department of Agriculture,1/31/24,iOS,6056,Safari (in-app)
Operating system and browser,Department of Agriculture,1/31/24,Android,4754,Samsung Internet
Operating system and browser,Department of Agriculture,1/31/24,Macintosh,2623,Firefox
Operating system and browser,Department of Agriculture,1/31/24,Android,2478,Android Webview
Operating system and browser,Department of Agriculture,1/31/24,Windows,885,Opera
Operating system and browser,Department of Agriculture,1/31/24,Android,815,Firefox
Operating system and browser,Department of Agriculture,1/31/24,Linux,776,Firefox
Operating system and browser,Department of Agriculture,1/31/24,Android,623,Amazon Silk
Operating system and browser,Department of Agriculture,1/31/24,Android,439,Android Browser
Operating system and browser,Department of Agriculture,1/31/24,Windows,400,Internet Explorer
Operating system and browser,Department of Agriculture,1/31/24,(not set),329,(not set)
Operating system and browser,Department of Agriculture,1/31/24,Android,321,Opera
Operating system and browser,Department of Agriculture,1/31/24,iOS,292,(not set)
Operating system and browser,Department of Agriculture,1/31/24,Macintosh,213,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/31/24,Macintosh,188,Edge
Operating system and browser,Department of Agriculture,1/31/24,(not set),148,Opera Mini
Operating system and browser,Department of Agriculture,1/31/24,Windows Phone,136,Internet Explorer
Operating system and browser,Department of Agriculture,1/31/24,Linux,123,Samsung Internet
Operating system and browser,Department of Agriculture,1/31/24,Windows,118,Safari
Operating system and browser,Department of Agriculture,1/31/24,BlackBerry,104,BlackBerry
Operating system and browser,Department of Agriculture,1/31/24,Macintosh,101,Opera
Operating system and browser,Department of Agriculture,1/30/24,Windows,276680,Chrome
Operating system and browser,Department of Agriculture,1/30/24,iOS,111803,Safari
Operating system and browser,Department of Agriculture,1/30/24,Windows,77108,Edge
Operating system and browser,Department of Agriculture,1/30/24,Android,66611,Chrome
Operating system and browser,Department of Agriculture,1/30/24,Chrome OS,35996,Chrome
Operating system and browser,Department of Agriculture,1/30/24,Macintosh,31780,Chrome
Operating system and browser,Department of Agriculture,1/30/24,Macintosh,30662,Safari
Operating system and browser,Department of Agriculture,1/30/24,iOS,16141,Chrome
