report_name,report_agency,date,visits,browser,os_version
Windows version and browser,Department of Agriculture,1/31/24,205252,Chrome,10
Windows version and browser,Department of Agriculture,1/31/24,76334,Edge,10
Windows version and browser,Department of Agriculture,1/31/24,7288,Firefox,10
Windows version and browser,Department of Agriculture,1/31/24,700,Opera,10
Windows version and browser,Department of Agriculture,1/31/24,543,Chrome,7
Windows version and browser,Department of Agriculture,1/31/24,434,Firefox,7
Windows version and browser,Department of Agriculture,1/31/24,264,Chrome,8.1
Windows version and browser,Department of Agriculture,1/31/24,134,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/30/24,276106,Chrome,10
Windows version and browser,Department of Agriculture,1/30/24,76965,Edge,10
Windows version and browser,Department of Agriculture,1/30/24,7291,Firefox,10
Windows version and browser,Department of Agriculture,1/30/24,691,Opera,10
Windows version and browser,Department of Agriculture,1/30/24,382,Firefox,7
Windows version and browser,Department of Agriculture,1/30/24,333,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/30/24,320,Chrome,7
Windows version and browser,Department of Agriculture,1/30/24,200,Chrome,8.1
Windows version and browser,Department of Agriculture,1/30/24,109,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/29/24,212140,Chrome,10
Windows version and browser,Department of Agriculture,1/29/24,79429,Edge,10
Windows version and browser,Department of Agriculture,1/29/24,7335,Firefox,10
Windows version and browser,Department of Agriculture,1/29/24,714,Chrome,7
Windows version and browser,Department of Agriculture,1/29/24,666,Opera,10
Windows version and browser,Department of Agriculture,1/29/24,482,Firefox,7
Windows version and browser,Department of Agriculture,1/29/24,375,Chrome,8.1
Windows version and browser,Department of Agriculture,1/29/24,356,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/29/24,111,Firefox,8.1
Windows version and browser,Department of Agriculture,1/29/24,104,Internet Explorer,7
Windows version and browser,Department of Agriculture,1/29/24,103,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/28/24,52791,Chrome,10
Windows version and browser,Department of Agriculture,1/28/24,17580,Edge,10
Windows version and browser,Department of Agriculture,1/28/24,3576,Firefox,10
Windows version and browser,Department of Agriculture,1/28/24,498,Opera,10
Windows version and browser,Department of Agriculture,1/28/24,380,Chrome,7
Windows version and browser,Department of Agriculture,1/28/24,379,Firefox,7
Windows version and browser,Department of Agriculture,1/28/24,370,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/28/24,174,Chrome,8.1
Windows version and browser,Department of Agriculture,1/27/24,51528,Chrome,10
Windows version and browser,Department of Agriculture,1/27/24,15186,Edge,10
